# initial_x = 1
x,y
1.14472,-0.345447
1.14105,-0.388733
1.13694,-0.43155
1.13242,-0.47382
1.12747,-0.515463
1.12211,-0.556406
1.11634,-0.596577
1.11018,-0.63591
1.10363,-0.674341
1.0967,-0.711811
1.0894,-0.748266
1.08174,-0.783655
1.07373,-0.817933
1.06538,-0.851058
1.05671,-0.882993
1.04773,-0.913708
1.03844,-0.943173
1.02887,-0.971367
1.01902,-0.998271
1.00891,-1.02387
0.998544,-1.04816
0.987946,-1.07112
0.977126,-1.09277
0.966095,-1.1131
0.954868,-1.13211
0.943458,-1.14982
0.931876,-1.16624
0.920137,-1.18138
0.908253,-1.19526
0.896236,-1.20791
0.884099,-1.21934
0.871853,-1.22959
0.859511,-1.23867
0.847083,-1.24663
0.834582,-1.25349
0.822017,-1.25928
0.8094,-1.26403
0.79674,-1.26779
0.784047,-1.27058
0.771331,-1.27245
0.758601,-1.27342
0.745866,-1.27355
0.733133,-1.27286
0.720411,-1.27138
0.707708,-1.26917
0.69503,-1.26626
0.682385,-1.26268
0.669779,-1.25846
0.657218,-1.25366
0.644707,-1.2483
0.632253,-1.24241
0.619861,-1.23604
0.607534,-1.22921
0.595278,-1.22196
0.583096,-1.21433
0.570993,-1.20634
0.558971,-1.19802
0.547033,-1.1894
0.535183,-1.18052
0.523424,-1.1714
0.511756,-1.16207
0.500183,-1.15256
0.488705,-1.14288
0.477326,-1.13307
0.466044,-1.12315
0.454863,-1.11314
0.443782,-1.10306
0.432802,-1.09294
0.421923,-1.08279
0.411146,-1.07264
0.40047,-1.0625
0.389896,-1.0524
0.379422,-1.04234
0.369049,-1.03234
0.358775,-1.02242
0.3486,-1.0126
0.338523,-1.00289
0.328542,-0.993297
0.318656,-0.983842
0.308865,-0.974534
0.299165,-0.965385
0.289556,-0.956406
0.280036,-0.947608
0.270603,-0.939
0.261256,-0.930593
0.251991,-0.922395
0.242807,-0.914414
0.233702,-0.906658
0.224673,-0.899136
0.215718,-0.891854
0.206835,-0.884819
0.198021,-0.878038
0.189274,-0.871516
0.18059,-0.865259
0.171968,-0.859272
0.163404,-0.853561
0.154895,-0.848129
0.14644,-0.842982
0.138035,-0.838123
0.129677,-0.833556
0.121363,-0.829284
0.11309,-0.825311
0.104855,-0.82164
0.0966562,-0.818273
0.088489,-0.815213
0.0803509,-0.812462
0.0722387,-0.810022
0.0641494,-0.807895
0.0560798,-0.806082
0.0480267,-0.804585
0.039987,-0.803405
0.0319576,-0.802543
0.0239351,-0.801999
0.0159165,-0.801775
0.00789856,-0.80187
-0.000121949,-0.802284
-0.0081482,-0.803019
-0.0161834,-0.804073
-0.0242307,-0.805445
-0.0322934,-0.807136
-0.0403745,-0.809145
-0.0484773,-0.81147
-0.0566049,-0.81411
-0.0647606,-0.817064
-0.0729473,-0.820329
-0.0811682,-0.823905
-0.0894264,-0.827789
-0.097725,-0.831979
-0.106067,-0.836472
-0.114455,-0.841264
-0.122893,-0.846354
-0.131383,-0.851738
-0.139929,-0.857412
-0.148533,-0.863371
-0.157197,-0.869613
-0.165926,-0.876132
-0.174721,-0.882923
-0.183585,-0.889982
-0.192521,-0.897302
-0.201532,-0.904879
-0.21062,-0.912704
-0.219787,-0.920773
-0.229036,-0.929077
-0.238369,-0.937609
-0.247789,-0.946361
-0.257297,-0.955325
-0.266896,-0.964492
-0.276588,-0.973852
-0.286374,-0.983395
-0.296256,-0.993111
-0.306237,-1.00299
-0.316316,-1.01302
-0.326497,-1.02318
-0.33678,-1.03347
-0.347167,-1.04387
-0.357658,-1.05436
-0.368255,-1.06494
-0.378957,-1.07559
-0.389766,-1.08628
-0.400683,-1.097
-0.411707,-1.10774
-0.422838,-1.11847
-0.434076,-1.12918
-0.445421,-1.13984
-0.456872,-1.15043
-0.468429,-1.16093
-0.480091,-1.17132
-0.491855,-1.18157
-0.503721,-1.19166
-0.515688,-1.20155
-0.527752,-1.21123
-0.539911,-1.22067
-0.552164,-1.22983
-0.564507,-1.23868
-0.576937,-1.2472
-0.58945,-1.25536
-0.602043,-1.26311
-0.614711,-1.27043
-0.627449,-1.27728
-0.640254,-1.28362
-0.65312,-1.28943
-0.666041,-1.29465
-0.679011,-1.29927
-0.692024,-1.30323
-0.705073,-1.3065
-0.718152,-1.30903
-0.731251,-1.3108
-0.744365,-1.31176
-0.757484,-1.31187
-0.770599,-1.3111
-0.783703,-1.30939
-0.796784,-1.30672
-0.809834,-1.30305
-0.822842,-1.29833
-0.835797,-1.29254
-0.848689,-1.28563
-0.861506,-1.27757
-0.874236,-1.26833
-0.886868,-1.25788
-0.89939,-1.24618
-0.911788,-1.23321
-0.924049,-1.21895
-0.936162,-1.20337
-0.948112,-1.18645
-0.959887,-1.16818
-0.971471,-1.14854
-0.982853,-1.12752
-0.994017,-1.10512
-1.00495,-1.08133
-1.01564,-1.05616
-1.02607,-1.02961
-1.03623,-1.00169
-1.0461,-0.972409
-1.05567,-0.941798
-1.06493,-0.909876
-1.07386,-0.876672
-1.08246,-0.842221
-1.0907,-0.806561
-1.09859,-0.769736
-1.1061,-0.731794
-1.11322,-0.69279
-1.11995,-0.652781
-1.12627,-0.611831
-1.13218,-0.570006
-1.13767,-0.527378
-1.14273,-0.484023
-1.14735,-0.440019
-1.15153,-0.395449
-1.15525,-0.3504
-1.15853,-0.304959
