# initial_x = 1
x,y
1.28821,0.386358
1.55729,1.30495
1.49283,-1.53937
1.28855,0.382815
1.54489,1.41648
1.49145,-1.54831
1.28889,0.379264
1.54615,1.4058
1.49007,-1.55722
1.28922,0.375705
1.54739,1.39507
1.48869,-1.56608
1.28955,0.372139
1.54862,1.3843
1.48729,-1.5749
1.286,0.408354
1.54985,1.37349
1.48589,-1.58367
1.28636,0.404861
1.55106,1.36265
1.48448,-1.59241
1.28672,0.40136
1.55227,1.35176
1.48306,-1.6011
1.28707,0.397851
1.55346,1.34083
1.49724,-1.50992
1.28742,0.394334
1.55465,1.32987
1.49589,-1.519
1.28777,0.390808
1.55583,1.31886
1.49454,-1.52804
1.28812,0.387275
1.55699,1.30782
1.49318,-1.53704
1.28846,0.383734
1.54457,1.41925
1.49181,-1.546
1.2888,0.380185
1.54582,1.40857
1.49043,-1.55491
1.28914,0.376629
1.54707,1.39786
1.48905,-1.56378
1.28947,0.373065
1.5483,1.3871
1.48766,-1.57261
1.2859,0.409258
1.54953,1.3763
1.48625,-1.5814
1.28627,0.405767
1.55075,1.36546
1.48485,-1.59015
1.28662,0.402268
1.55196,1.35459
1.48343,-1.59885
1.28698,0.398761
1.55315,1.34367
1.49759,-1.50756
1.28733,0.395246
1.55434,1.33271
1.49624,-1.51665
1.28768,0.391723
1.55552,1.32172
1.49489,-1.5257
1.28803,0.388192
1.55669,1.31069
1.49353,-1.53471
1.28837,0.384653
1.54424,1.42201
1.49217,-1.54368
1.28871,0.381106
1.5455,1.41134
1.49079,-1.5526
1.28905,0.377552
1.54675,1.40064
1.48941,-1.56149
1.28938,0.373989
1.54798,1.38989
1.48802,-1.57033
1.28581,0.410162
1.54921,1.3791
1.48662,-1.57913
1.28617,0.406673
1.55043,1.36828
1.48521,-1.58788
1.28653,0.403176
1.55164,1.35741
1.4838,-1.5966
1.28689,0.399671
1.55285,1.3465
1.49793,-1.50519
1.28724,0.396158
1.55404,1.33556
1.49659,-1.5143
1.28759,0.392637
1.55522,1.32457
1.49524,-1.52336
1.28794,0.389108
1.55639,1.31355
1.49389,-1.53238
1.28828,0.385571
1.55755,1.30249
1.49252,-1.54136
1.28862,0.382026
1.54517,1.41411
1.49115,-1.55029
1.28896,0.378474
1.54642,1.40342
1.48977,-1.55919
1.2893,0.374914
1.54766,1.39268
1.48838,-1.56804
1.28963,0.371346
1.5489,1.3819
1.48698,-1.57685
1.28608,0.407578
1.55012,1.37109
1.48558,-1.58562
1.28644,0.404084
1.55133,1.36023
1.48417,-1.59434
1.2868,0.400581
1.55253,1.34934
1.48275,-1.60302
1.28715,0.39707
1.55373,1.3384
1.49694,-1.51194
1.2875,0.393551
1.55491,1.32742
1.49559,-1.52101
1.28785,0.390024
1.55609,1.31641
1.49424,-1.53004
1.28819,0.386489
1.55725,1.30536
1.49288,-1.53903
1.28854,0.382946
1.54485,1.41688
1.4915,-1.54798
1.28887,0.379396
1.5461,1.40619
1.49013,-1.55689
1.28921,0.375837
1.54734,1.39547
1.48874,-1.56575
1.28954,0.372271
1.54858,1.3847
1.48734,-1.57457
1.28598,0.408483
1.5498,1.3739
1.48594,-1.58335
1.28635,0.404991
1.55102,1.36305
1.48453,-1.59208
1.2867,0.40149
1.55222,1.35216
1.48311,-1.60078
1.28706,0.397981
1.55342,1.34124
1.49729,-1.50958
1.28741,0.394464
1.55461,1.33027
1.49594,-1.51866
1.28776,0.390939
1.55578,1.31927
1.49459,-1.52771
1.28811,0.387406
1.55695,1.30823
1.49323,-1.53671
1.28845,0.383865
1.54452,1.41964
1.49186,-1.54567
1.28879,0.380317
1.54577,1.40897
1.49048,-1.55458
1.28912,0.376761
1.54702,1.39825
1.4891,-1.56346
